               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045501,            0.062191,            0.016539,               0.688,               0.603,             0.68604,             0.45315,            0.041477,            0.038484,            0.010736,              0.0937,              0.0007,              0.0007
                   1,            0.043578,            0.064631,            0.016683,             0.73389,             0.61096,             0.71342,             0.48046,             0.04057,            0.037436,           0.0093722,             0.08647,           0.0014703,           0.0014703
                   2,            0.045448,            0.069711,             0.01491,             0.75581,             0.62503,             0.72874,              0.4854,             0.04046,             0.03699,           0.0085704,            0.079209,           0.0022089,           0.0022089
                   3,            0.045031,            0.060346,            0.014718,             0.76798,             0.68157,             0.76344,             0.49881,            0.039918,            0.035949,           0.0078743,            0.071916,           0.0029159,           0.0029159
                   4,            0.042607,            0.060951,            0.013515,             0.79561,             0.67926,             0.76774,             0.49614,            0.040518,            0.035267,           0.0070002,            0.064591,           0.0035911,           0.0035911
                   5,            0.043061,            0.055283,            0.013889,             0.78443,             0.70972,             0.78353,             0.50008,            0.040901,             0.03398,           0.0064478,            0.057235,           0.0042347,           0.0042347
                   6,            0.045258,            0.058809,            0.010961,             0.75062,             0.72388,             0.76776,             0.46033,            0.045376,            0.033319,           0.0060964,            0.049847,           0.0048466,           0.0048466
                   7,            0.047324,             0.05794,            0.012777,             0.74227,             0.75113,              0.8017,             0.50802,             0.04047,             0.03251,           0.0056467,            0.042427,           0.0054268,           0.0054268
                   8,            0.045007,            0.058457,            0.011985,             0.79279,             0.73094,             0.80259,             0.48718,            0.044806,            0.031511,           0.0052788,            0.034975,           0.0059754,           0.0059754
                   9,            0.048085,            0.063109,            0.009869,             0.76602,              0.7298,             0.79507,             0.50323,            0.044079,            0.030992,           0.0049369,            0.027492,           0.0064922,           0.0064922
                  10,            0.048286,            0.061661,            0.010697,             0.74884,             0.75819,             0.80453,             0.52389,            0.043205,            0.030197,           0.0047581,            0.019977,           0.0069774,           0.0069774
                  11,            0.046754,            0.053007,            0.010228,             0.77735,             0.75881,             0.80856,             0.53102,            0.042332,            0.030213,           0.0047295,            0.012431,           0.0074309,           0.0074309
                  12,             0.04677,            0.051085,                0.01,             0.75414,             0.75446,             0.80624,             0.52561,            0.043261,             0.02955,             0.00454,            0.007624,            0.007624,            0.007624
                  13,            0.046104,            0.052128,           0.0091401,             0.83723,             0.74996,             0.84128,             0.54528,            0.040579,             0.02954,           0.0045196,            0.007624,            0.007624,            0.007624
                  14,            0.044927,            0.049215,            0.010672,             0.80896,              0.6819,             0.80484,             0.51642,            0.041584,            0.032506,            0.005842,            0.007426,            0.007426,            0.007426
                  15,            0.046106,            0.053517,            0.010417,             0.77438,             0.76198,             0.82827,             0.52566,            0.040242,            0.030371,           0.0049963,            0.007228,            0.007228,            0.007228
                  16,            0.043418,            0.051534,            0.008431,             0.77999,             0.77479,             0.84664,             0.54955,            0.041249,            0.028507,           0.0043086,             0.00703,             0.00703,             0.00703
                  17,            0.042716,            0.051262,           0.0084185,             0.79713,             0.78385,             0.85244,             0.55156,            0.043171,            0.028276,           0.0040731,            0.006832,            0.006832,            0.006832
                  18,            0.042026,            0.049028,           0.0096649,             0.85159,             0.78285,             0.86189,             0.57662,             0.03948,            0.027164,           0.0038626,            0.006634,            0.006634,            0.006634
                  19,            0.043187,            0.048758,           0.0088164,             0.81528,             0.80476,             0.87218,             0.57314,            0.039302,            0.027212,           0.0037267,            0.006436,            0.006436,            0.006436
                  20,            0.041371,            0.046972,           0.0089479,             0.83502,             0.82167,             0.88479,             0.59046,            0.036594,            0.026605,           0.0036415,            0.006238,            0.006238,            0.006238
                  21,            0.040879,            0.049477,           0.0082369,             0.81284,             0.85283,             0.89134,             0.60098,             0.03576,            0.026795,           0.0034857,             0.00604,             0.00604,             0.00604
                  22,            0.040997,            0.051873,           0.0089437,             0.83207,             0.83249,             0.88905,             0.60742,            0.035509,            0.026799,           0.0033828,            0.005842,            0.005842,            0.005842
                  23,            0.037633,            0.045242,           0.0090958,             0.83778,             0.81737,             0.88069,             0.59692,            0.035883,             0.02656,           0.0032939,            0.005644,            0.005644,            0.005644
                  24,             0.04134,             0.05007,           0.0083822,              0.8595,             0.81818,             0.89169,             0.61145,            0.036099,             0.02636,           0.0033361,            0.005446,            0.005446,            0.005446
                  25,            0.042162,            0.049722,             0.00821,             0.85949,             0.82255,                 0.9,             0.59156,            0.036527,            0.026319,           0.0032519,            0.005248,            0.005248,            0.005248
                  26,             0.04115,            0.048087,           0.0087176,             0.88002,             0.82461,             0.90115,             0.59724,            0.035547,            0.026141,           0.0031706,             0.00505,             0.00505,             0.00505
                  27,             0.03999,            0.048523,           0.0076026,             0.86114,             0.84181,              0.9044,             0.60784,            0.036019,            0.025846,           0.0031812,            0.004852,            0.004852,            0.004852
                  28,            0.037794,            0.043591,           0.0087383,             0.88653,             0.83735,             0.91073,             0.63649,            0.033755,            0.025162,           0.0031366,            0.004654,            0.004654,            0.004654
